OID_,bouguer,X,Y,mag,bedmachine,roughness,beta,water,reflectivity
366,6,-576861.426917636301368,-975645.317944737384096,,,,,0.0031689,
367,11,-566883.440845350036398,-975645.317944737384096,,,,,,
368,11,-556905.454773063771427,-975645.317944737384096,,,,,,
369,8,-546927.468700777506456,-975645.317944737384096,,,,,,
370,7,-536949.482628491241485,-975645.317944737384096,,,,,,
371,4,-526971.496556204976514,-975645.317944737384096,,,,,,
372,0,-516993.510483918711543,-975645.317944737384096,,,,,,
373,-4,-507015.524411632446572,-975645.317944737384096,,,,,,
374,-6,-497037.538339346181601,-975645.317944737384096,,,,,,
375,-6,-487059.552267059916630,-975645.317944737384096,,,,,,
376,-6,-477081.566194773651659,-975645.317944737384096,,,,,,
377,-5,-467103.580122487386689,-975645.317944737384096,,,,,,
378,-2,-457125.594050201121718,-975645.317944737384096,,,,,,
379,1,-447147.607977914856747,-975645.317944737384096,,,,,,
380,3,-437169.621905628591776,-975645.317944737384096,,,,,,
381,1,-427191.635833342093974,-975645.317944737384096,,,,,,
382,0,-417213.649761055829003,-975645.317944737384096,,,,,,
383,-1,-407235.663688769564033,-975645.317944737384096,,,,,,
384,-2,-397257.677616483299062,-975645.317944737384096,,,,,,
385,-4,-387279.691544197034091,-975645.317944737384096,,,,,,
386,-4,-377301.705471910769120,-975645.317944737384096,,,,,,
387,-2,-367323.719399624504149,-975645.317944737384096,,,,,,
388,0,-357345.733327338239178,-975645.317944737384096,,,,,,
389,3,-347367.747255051974207,-975645.317944737384096,,,,,,
390,4,-337389.761182765709236,-975645.317944737384096,,,,,,
391,7,-327411.775110479444265,-975645.317944737384096,,,,,,
392,10,-317433.789038193179294,-975645.317944737384096,,,,,,
393,13,-307455.802965906914324,-975645.317944737384096,,,,,,
394,15,-297477.816893620649353,-975645.317944737384096,,,,,,
395,17,-287499.830821334384382,-975645.317944737384096,,,,,,
396,20,-277521.844749048119411,-975645.317944737384096,,,,,,
397,6,-596817.399062208831310,-985623.304017023649067,,,,,0.0031689,
398,5,-586839.412989922566339,-985623.304017023649067,,,,,0.0000000,
399,4,-576861.426917636301368,-985623.304017023649067,,,,,0.0000000,
400,6,-566883.440845350036398,-985623.304017023649067,,,,,0.0000000,
401,10,-556905.454773063771427,-985623.304017023649067,,,,,,
402,5,-546927.468700777506456,-985623.304017023649067,,,,,,
403,1,-536949.482628491241485,-985623.304017023649067,,,,,,
404,0,-526971.496556204976514,-985623.304017023649067,,,,,,
405,-1,-516993.510483918711543,-985623.304017023649067,,,,,,
406,-7,-507015.524411632446572,-985623.304017023649067,,,,,,
407,-9,-497037.538339346181601,-985623.304017023649067,,,,,,
408,-8,-487059.552267059916630,-985623.304017023649067,,,,,,
409,-8,-477081.566194773651659,-985623.304017023649067,,,,,,
410,-9,-467103.580122487386689,-985623.304017023649067,,,,,,
411,-4,-457125.594050201121718,-985623.304017023649067,,,,,,
412,2,-447147.607977914856747,-985623.304017023649067,,,,,,
413,7,-437169.621905628591776,-985623.304017023649067,,,,,,
414,5,-427191.635833342093974,-985623.304017023649067,,,,,,
415,2,-417213.649761055829003,-985623.304017023649067,,,,,,
416,0,-407235.663688769564033,-985623.304017023649067,,,,,,
417,-1,-397257.677616483299062,-985623.304017023649067,,,,,,
418,-3,-387279.691544197034091,-985623.304017023649067,,,,,,
